No,Name,Type 1,Type 2,Hp,Atk,Def,Sp. Atk,Sp. Def,Spd
136,tentacool,water,poison,40,40,35,50,100,70
137,tentacruel,water,poison,80,70,65,80,120,100
138,feebas,water,,20,15,20,10,55,80
139,milotic,water,,95,60,79,100,125,81
140,mantyke,water,flying,45,20,50,60,120,50
141,mantine,water,flying,85,40,70,80,140,70
142,snover,grass,ice,60,62,50,62,60,40
143,abomasnow,grass,ice,90,92,75,92,85,60
144,sneasel,dark,ice,55,95,55,35,75,115
145,weavile,dark,ice,70,120,65,45,85,125
146,uxie,psychic,,75,75,130,75,130,95
147,mesprit,psychic,,80,105,105,105,105,80
148,azelf,psychic,,75,125,70,125,70,115
149,dialga,steel,dragon,100,120,120,150,100,90
150,palkia,water,dragon,90,120,100,150,120,100
151,manaphy,water,,100,100,100,100,100,100
