No,Name,Type 1,Type 2,Hp,Atk,Def,Sp. Atk,Sp. Def,Spd
123,Hippowdon,Ground,,108,112,118,68,72,47
124,Azurill,Normal,Fairy,50,20,40,20,40,20
125,Marill,Water,Fairy,70,20,50,20,50,40
126,Azumarill,Water,Fairy,100,50,80,60,80,50
127,Skorupi,Poison,Bug,40,50,90,30,55,65
128,Drapion,Poison,Dark,70,90,110,60,75,95
129,Croagunk,Poison,Fighting,48,61,40,61,40,50
130,Toxicroak,Poison,Fighting,83,106,65,86,65,85
131,Carnivine,Grass,,74,100,72,90,72,46
132,Remoraid,Water,,35,65,35,65,35,65
133,Octillery,Water,,75,105,75,105,75,45
134,Finneon,Water,,49,49,56,49,61,66
135,Lumineon,Water,,69,69,76,69,86,91
136,Tentacool,Water,Poison,40,40,35,50,100,70
137,Tentacruel,Water,Poison,80,70,65,80,120,100
138,Feebas,Water,,20,15,20,10,55,80
139,Milotic,Water,,95,60,79,100,125,81
140,Mantyke,Water,Flying,45,20,50,60,120,50
141,Mantine,Water,Flying,85,40,70,80,140,70
142,Snover,Grass,Ice,60,62,50,62,60,40
143,Abomasnow,Grass,Ice,90,92,75,92,85,60
144,Sneasel,Dark,Ice,55,95,55,35,75,115
145,Weavile,Dark,Ice,70,120,65,45,85,125
146,Uxie,Psychic,,75,75,130,75,130,95
147,Mesprit,Psychic,,80,105,105,105,105,80
148,Azelf,Psychic,,75,125,70,125,70,115
149,Dialga,Steel,Dragon,100,120,120,150,100,90
150,Palkia,Water,Dragon,90,120,100,150,120,100
151,Manaphy,Water,,100,100,100,100,100,100
